RANK,SUM,Pop_SD,VAR
109067,6093.181,2969.586,19295.454
33559,6550.181,3542.664,27460.673
33559,6398,3456.291,26140.4
2097,4996.381,3417.903,25559.553
4195,5544.781,3286.287,23634.212
2097,5636.181,3414.247,25510.654
94385,6245.819,3048.19,20331.473
54534,5758.2,3256.582,23203.261
52436,5544.781,2984.667,19490.593
211842,6367.381,3181.177,22147.134
27267,5606.019,3305.938,23914.353
134237,6275.981,3106.229,21111.572
262181,6915.781,2850.766,17784.612
2097,5209.8,3539.008,27407.661
171991,6215.2,2932.569,18816.061
2097,5087.781,3531.696,27290.212
12585,5788.819,3160.155,21854.654
12585,5727.581,3252.469,23146.593
77606,6489.4,3232.361,22862.339
127944,6580.8,3147.816,21680.08
54534,5880.219,3303.196,23877.793
8390,5971.619,3318.277,24097.153
16780,5880.219,3406.935,25400.974
39852,5606.019,2935.768,18856.734
4195,4752.8,3125.423,21375.261
18877,6489.4,3317.363,24080.701
134237,6337.219,2918.402,18637.374
31462,6550.181,3726.378,30385.473
33559,5788.819,3025.34,20026.654
176186,6794.219,3125.88,21379.374
2097,4966.219,2998.377,19673.393
12585,6672.2,3487.824,26615.68
37754,6032.4,2971.871,19327.901
12585,5453.381,3318.277,24097.153
23072,5606.019,3280.346,23548.753
67118,5423.219,3017.114,19916.974
41949,6398,3209.968,22545.181
65021,6275.981,3305.938,23914.353
10487,6032.4,3746.943,30722.739
2097,5606.019,3665.597,29398.353
92288,5880.219,3103.487,21075.012
4195,4904.981,2968.672,19283.572
8390,5788.819,3502.905,26851.492
402710,6702.819,3107.143,21123.454
23072,5971.619,3425.672,25681.572
2097,5971.619,3466.345,26290.753
23072,5971.619,3592.477,28240.772
44046,6428.619,3185.747,22208.372
20975,5818.981,3438.011,25864.372
4195,5057.619,3267.55,23365.953
2097,4783.419,3320.105,24121.374
8390,5179.181,2983.753,19478.254
171991,6398,3130.907,21448.381
285253,6946.4,2990.608,19571.939
4195,5544.781,3715.867,30215.012
20975,6063.019,3810.466,31774.753
52436,5788.819,3124.966,21367.492
102775,6520.019,3263.437,23305.172
69216,6215.2,3057.787,20461.261
